from,to,weight
0,1,5.428909e-01
0,2,5.804851e-01
0,3,6.513839e-01
0,4,6.502113e-01
0,5,4.222737e-06
0,6,5.365109e-01
0,7,5.779091e-01
0,8,6.172080e-01
0,9,6.258976e-01
0,10,7.769336e-01
0,11,1.175804e-04
0,12,2.347731e-01
0,13,5.676360e-01
0,14,6.813903e-01
0,15,4.184919e+00
0,16,1.126977e+00
0,17,2.725587e-02
0,18,3.768928e-01
0,19,7.905164e-01
0,20,9.551447e+00
0,21,4.745980e+00
0,22,1.842221e+00
0,23,2.234458e-01
0,24,5.435840e-01
1,0,1.514987e+00
1,2,9.390005e-01
1,3,1.025802e+00
1,4,1.001873e+00
1,5,3.688680e-03
1,6,1.006945e+00
1,7,9.174968e-01
1,8,9.426598e-01
1,9,9.403487e-01
1,10,2.348021e+00
1,11,1.766257e-02
1,12,7.155633e-01
1,13,9.263532e-01
1,14,1.061971e+00
1,15,4.312992e+00
1,16,2.693129e+00
1,17,5.934926e-01
1,18,1.170836e+00
1,19,1.391038e+00
1,20,1.009093e+01
1,21,4.940500e+00
1,22,3.367137e+00
1,23,1.405275e+00
1,24,1.588314e+00
2,0,1.256494e+00
2,1,9.919067e-01
2,3,1.026946e+00
2,4,1.052512e+00
2,5,1.622637e-01
2,6,9.881000e-01
2,7,9.378245e-01
2,8,9.756559e-01
2,9,1.108556e+00
2,10,4.749474e+00
2,11,4.110170e-01
2,12,1.018840e+00
2,13,1.087574e+00
2,14,1.107524e+00
2,15,4.784727e+00
2,16,5.018622e+00
2,17,2.442470e+00
2,18,1.755287e+00
2,19,1.486012e+00
2,20,1.071622e+01
2,21,5.420087e+00
2,22,5.302724e+00
2,23,3.545903e+00
2,24,2.483614e+00
3,0,8.539940e-01
3,1,6.963842e-01
3,2,6.819646e-01
3,4,8.501471e-01
3,5,1.268159e+00
3,6,7.194365e-01
3,7,6.798522e-01
3,8,6.973971e-01
3,9,8.015223e-01
3,10,6.362445e+00
3,11,1.265583e+00
3,12,9.637472e-01
3,13,8.008867e-01
3,14,8.067426e-01
3,15,4.544172e+00
3,16,6.402619e+00
3,17,4.369097e+00
3,18,1.956233e+00
3,19,1.258592e+00
