id,b,k,sd
0,0,0,4.226137e-03
1,0,1,2.729199e-04
2,0,2,5.730615e-05
3,0,3,2.280696e-05
4,0,4,1.503924e-06
5,1,0,3.681075e-05
6,1,1,2.669379e-04
7,1,2,7.539236e-05
8,1,3,2.297348e-05
9,1,4,1.563400e-06
10,2,0,5.425329e-05
11,2,1,2.917484e-05
12,2,2,3.425785e-04
13,2,3,1.399657e-04
14,2,4,2.705508e-05
15,3,0,2.778798e-05
16,3,1,4.849176e-05
17,3,2,1.394175e-03
18,3,3,8.275973e-04
19,3,4,1.730066e-04
20,4,0,2.304680e-05
21,4,1,2.438786e-05
22,4,2,1.835414e-04
23,4,3,9.908342e-01
24,4,4,8.863967e-04

