from,to,weight
0,1,5.792433e-06
0,2,1.403317e-10
0,3,7.561825e-13
0,4,7.432570e-14
0,5,2.986198e-66
0,6,1.618297e-04
0,7,9.171700e-04
0,8,3.147989e-03
0,9,2.032748e-03
0,10,1.463408e-06
0,11,1.122646e-47
0,12,1.816416e-09
0,13,1.591773e-03
0,14,5.370246e-03
0,15,8.821833e-02
0,16,2.835167e-05
0,17,3.304231e-18
0,18,3.288986e-06
0,19,7.550014e-03
0,20,2.700550e+00
0,21,1.681317e-01
0,22,9.121040e-04
0,23,2.069693e-10
0,24,6.669789e-06
1,0,1.425244e+01
1,2,2.710809e-04
1,3,9.144594e-08
1,4,5.836147e-09
1,5,5.269855e-60
1,6,1.940307e-01
1,7,3.779614e-02
1,8,1.666835e-02
1,9,5.107723e-03
1,10,7.706235e-09
1,11,5.479856e-44
1,12,2.395513e-06
1,13,4.015765e-02
1,14,4.074025e-02
1,15,2.350186e-02
1,16,5.194609e-07
1,17,3.545342e-18
1,18,8.978226e-05
1,19,5.920692e-02
1,20,1.615388e+00
1,21,5.360175e-02
1,22,6.780195e-05
1,23,1.154818e-10
1,24,6.664183e-05
2,0,2.575254e+01
2,1,9.917900e+00
2,3,6.661400e-03
2,4,3.455235e-05
2,5,1.124473e-52
2,6,6.213306e+00
2,7,1.183992e+00
2,8,9.829883e-02
2,9,2.743267e-02
2,10,6.261978e-10
2,11,3.001500e-39
2,12,2.175687e-03
2,13,9.770482e-01
2,14,2.077667e-01
2,15,1.084332e-02
2,16,1.043879e-07
2,17,4.304986e-16
2,18,2.876463e-03
2,19,5.193515e-01
2,20,1.183641e+00
2,21,2.585479e-02
2,22,1.697473e-05
2,23,6.276519e-10
2,24,5.969856e-04
3,0,2.905223e+01
3,1,1.784833e+01
3,2,6.075977e+00
3,4,1.366341e-02
3,5,5.925427e-45
3,6,8.418928e+00
3,7,1.668203e+00
3,8,3.471016e-01
3,9,2.854821e-02
3,10,8.678269e-10
3,11,3.058399e-34
3,12,5.073834e-02
3,13,2.627513e+00
3,14,5.319715e-01
3,15,7.269135e-03
3,16,1.376689e-07
3,17,1.914222e-13
3,18,1.138333e-02
3,19,1.211201e+00
3,20,1.058175e+00
3,21,1.869983e-02
3,22,2.738203e-05
3,23,1.955833e-08
3,24,3.978079e-03
4,0,2.922332e+01
4,1,2.025710e+01
4,2,1.212696e+01
4,3,6.706076e+00
4,5,7.683019e-39
4,6,1.248744e+01
4,7,4.239505e+00
4,8,2.589321e-01
4,9,1.034680e-01
4,10,2.225082e-08
4,11,2.528827e-29
4,12,1.987815e-01
4,13,3.550292e+00
4,14,1.013384e+00
4,15,7.931020e-03
4,16,8.929101e-07
4,17,6.304881e-11
4,18,1.112991e-01
4,19,2.621741e+00
4,20,1.080943e+00
4,21,2.120457e-02
4,22,7.577339e-05
4,23,3.328430e-07
4,24,1.696282e-02
5,0,1.340730e+02
5,1,1.230341e+02
5,2,1.126735e+02
5,3,1.028616e+02
5,4,9.539322e+01
5,6,9.988595e+01
5,7,7.951055e+01
5,8,6.270409e+01
5,9,1.913646e-04
5,10,1.151879e-133
5,11,1.392602e-09
5,12,7.328387e+01
5,13,7.318320e+01
5,14,5.977261e+01
5,15,2.724271e-13
5,16,1.618192e-96
5,17,2.116425e-17
5,18,4.233265e+01
5,19,5.926044e+01
5,20,5.710866e-04
5,21,4.359221e-11
5,22,1.231798e-41
5,23,2.806305e-18
5,24,1.507881e+01
6,0,7.780052e+00
6,1,3.008764e+00
6,2,5.541259e-02
6,3,1.374847e-02
6,4,3.670144e-04
6,5,1.048024e-32
6,7,4.935758e-01
6,8,4.251065e-01
6,9,5.217986e-01
6,10,1.009438e-01
6,11,9.716934e-23
6,12,3.372220e-02
6,13,5.749294e-01
6,14,8.455290e-01
6,15,1.826525e-01
6,16,1.642086e-01
6,17,2.838879e-04
6,18,3.112730e-01
6,19,1.347238e+00
6,20,4.343661e+00
6,21,3.541529e-01
6,22,2.497663e-01
6,23,2.430260e-02
6,24,3.430344e-01
7,0,2.761429e+00
7,1,3.315743e+00
7,2,2.002733e+00
7,3,1.714975e+00
7,4,8.358142e-01
7,5,5.500682e-14
7,6,1.031494e+00
7,8,1.497092e+00
7,9,8.625002e-01
7,10,1.205505e+01
7,11,4.188192e-07
7,12,6.598841e-01
7,13,1.416261e+00
7,14,1.829789e+00
7,15,4.303783e-01
7,16,9.498260e+00
7,17,8.390131e+00
7,18,5.796778e+00
7,19,3.036155e+00
7,20,6.799564e+00
7,21,7.956685e-01
7,22,6.487061e+00
7,23,8.619540e+00
7,24,6.622977e+00
8,0,1.745145e-01
8,1,1.297273e+00
8,2,1.845325e+00
8,3,1.828722e+00
8,4,3.399380e+00
8,5,4.707612e-01
8,6,1.309486e-01
8,7,1.774950e-02
8,9,4.449128e-01
8,10,3.166191e+01
8,11,3.433010e+01
8,12,1.721984e+00
8,13,2.545924e-01
8,14,2.230880e-01
8,15,4.948959e-01
8,16,2.434326e+01
8,17,4.299563e+01
8,18,9.536019e+00
8,19,1.823268e+00
8,20,7.644516e+00
8,21,9.715391e-01
8,22,1.435453e+01
8,23,3.431291e+01
8,24,1.301734e+01
9,0,1.389197e-02
9,1,2.212549e-01
9,2,3.850840e-01
9,3,2.243354e+00
9,4,2.739069e+00
9,5,7.243339e+01
9,6,3.826211e-03
9,7,2.694175e-03
9,8,4.596668e-03
9,10,4.292826e+01
9,11,6.487426e+01
9,12,9.364621e-01
9,13,2.312466e-02
9,14,3.877032e-02
9,15,5.241468e-01
9,16,3.506054e+01
9,17,5.107355e+01
9,18,9.438080e+00
9,19,1.081268e+00
9,20,7.313873e+00
9,21,8.636640e-01
9,22,2.265349e+01
9,23,4.358784e+01
9,24,1.438705e+01
10,0,1.590864e-106
10,1,2.098811e-86
10,2,2.205792e-73
10,3,1.461624e-66
10,4,1.649377e-64
10,5,2.321949e+02
10,6,4.427897e-106
10,7,4.766935e-120
10,8,2.428496e-124
10,9,2.704249e-123
10,11,1.793119e+02
10,12,7.034147e-81
10,13,2.027922e-113
10,14,3.916984e-121
10,15,8.774897e-269
10,16,5.565931e-19
10,17,1.370978e+02
10,18,1.312752e-59
10,19,6.401642e-103
10,20,6.675825e-27
10,21,1.452455e-205
10,22,1.058075e-50
10,23,8.396339e+01
10,24,5.821851e-45
11,0,6.538829e+01
11,1,6.091947e+01
11,2,5.662508e+01
11,3,5.351373e+01
11,4,4.857847e+01
11,5,1.760640e+01
11,6,5.163310e+01
11,7,4.254602e+01
11,8,4.152384e+00
11,9,7.814087e-07
11,10,1.146252e-66
11,12,3.991471e+01
11,13,4.019960e+01
11,14,3.187422e+01
11,15,1.885716e-03
11,16,5.684843e-46
11,17,9.158455e-04
11,18,2.665389e+01
11,19,3.131124e+01
11,20,3.021228e-03
11,21,2.735045e-03
11,22,4.879301e-10
11,23,6.181172e-04
11,24,1.394076e+01
12,0,6.900777e+00
12,1,3.473058e+00
12,2,1.070208e+00
12,3,4.116310e-01
12,4,8.437778e-02
12,5,1.245164e-24
12,6,8.181018e-01
12,7,3.933826e-01
12,8,7.933844e-02
12,9,3.655420e-02
12,10,4.595734e-01
12,11,8.524608e-18
12,13,5.170888e-01
12,14,1.652548e-01
