id,b,k,sd
0,0,0,4.005750e-02
1,0,1,3.009950e-03
2,0,2,6.240868e-04
3,0,3,3.365852e-04
4,0,4,2.099202e-04
5,1,0,1.352085e-04
6,1,1,1.470667e-03
7,1,2,2.283816e-04
8,1,3,4.605874e-05
9,1,4,3.196140e-06
10,2,0,2.603338e-04
11,2,1,1.318191e-04
12,2,2,8.075427e-04
13,2,3,3.614627e-04
14,2,4,9.350098e-05
15,3,0,1.313968e-04
16,3,1,2.498988e-04
17,3,2,1.003898e-02
18,3,3,2.441037e-03
19,3,4,3.968561e-04
20,4,0,1.497838e-04
21,4,1,1.727110e-04
22,4,2,7.304156e-04
23,4,3,9.358595e-01
24,4,4,2.053177e-03

